datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
5/23/2018,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,4,0.6,0.5,"-255,789","-4,929,553",3
7/15/2018,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,17,0,0.5,"-2,557,828","-4,932,595",1.5
8/20/2018,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,4,0,0.6,"-2,562,896","-4,935,869",2.7
8/20/2018,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,4,0,-999,"-256,288","-4,936,119",3.6
8/12/2018,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,3,0,-999,"-2,537,193","-4,925,241",1.1
8/28/2018,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,3,0,-999,"-2,546,371","-4,935,489",1.5
8/31/2018,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,6,0,-999,"-2,548,906","-4,926,558",1.8
8/31/2018,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,6,0,-999,"-2,555,212","-493,282",8.8
8/31/2018,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,6,0,-999,"-255,545","-4,932,553",8.3
9/18/2018,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,1,0.3,0.3,"-2,542,147","-493,676",4.5
11/16/2018,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,2,0,-999,"-2,555,534","-493,147",3.6
11/20/2018,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,1,0,-999,"-2,548,734","-4,926,499",2
4/17/2019,NPP-375D,Brasil,PARANA,CURITIBA,Mata Atlantica,0,0,-999,"-2,556,583","-4,934,269",1.2
9/11/2019,NPP-375D,Brasil,PARANA,CURITIBA,Mata Atlantica,4,0.1,-999,"-2,561,636","-4,935,316",0.4
10/13/2019,NPP-375D,Brasil,PARANA,CURITIBA,Mata Atlantica,4,0.3,0.1,"-2,561,866","-4,934,388",0.9
7/24/2019,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,1,0.5,-999,"-2,554,933","-4,929,406",6.3
7/26/2019,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,0,0,-999,"-2,554,553","-49,317",2.6
8/7/2019,NOAA-20,Brasil,PARANA,CURITIBA,Mata Atlantica,6,0,1,"-255,325","-4,922,094",
8/9/2019,NOAA-20,Brasil,PARANA,CURITIBA,Mata Atlantica,7,0,1,"-256,277","-4,932,757",
8/12/2019,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,9,0,0.5,"-2,561,523","-4,932,827",1.6
8/17/2019,NOAA-20,Brasil,PARANA,CURITIBA,Mata Atlantica,4,0,-999,"-255,018","-4,936,023",
8/30/2019,NOAA-20,Brasil,PARANA,CURITIBA,Mata Atlantica,7,0,1,"-255,442","-4,922,715",
8/30/2019,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,7,0,-999,"-2,555,351","-493,302",4.4
8/29/2019,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,6,0,-999,"-2,552,905","-4,922,128",3.7
8/29/2019,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,6,0,1,"-2,561,371","-4,931,551",3.2
9/12/2019,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,3,0.2,0.7,"-2,554,447","-4,922,762",1.7
10/1/2019,TERRA_M-T,Brasil,PARANA,CURITIBA,Mata Atlantica,6,0,0.1,"-25,457","-49,363",10.2
12/31/2019,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,11,0,-999,"-2,547,698","-4,932,911",8.5
12/30/2019,NOAA-20,Brasil,PARANA,CURITIBA,Mata Atlantica,10,0,-999,"-254,863","-4,926,369",
12/27/2019,NOAA-20,Brasil,PARANA,CURITIBA,Mata Atlantica,7,0,0.4,"-2,558,117","-4,929,716",
1/8/2019,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,2,16.7,0,"-2,559,376","-4,930,935",3
4/17/2019,NOAA-20,Brasil,PARANA,CURITIBA,Mata Atlantica,0,0,-999,"-255,923","-4,932,616",
5/31/2020,NPP-375D,Brasil,PARANA,CURITIBA,Mata Atlantica,7,0.3,-999,"-254,295","-4,927,353",1.8
6/17/2020,NPP-375D,Brasil,PARANA,CURITIBA,Mata Atlantica,6,0,-999,"-2,538,693","-4,929,265",3.5
4/27/2020,NPP-375D,Brasil,PARANA,CURITIBA,Mata Atlantica,13,0,-999,"-2,553,816","-4,930,559",1.2
1/6/2020,AQUA_M-T,Brasil,PARANA,CURITIBA,Mata Atlantica,2,0,-999,"-25,523","-49,287",10.5
1/26/2020,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,4,0,-999,"-2,555,161","-4,932,427",5.4
6/20/2020,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,2,0,0,"-254,478","-49,384",6.5
7/22/2020,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,5,0,-999,"-2,561,399","-4,935,204",5.4
7/24/2020,NOAA-20,Brasil,PARANA,CURITIBA,Mata Atlantica,7,0,-999,"-2,556,369","-4,934,253",
